companyName,articleTitle,publishedDate,description,sourceUrl
Aurelia Systems,Aurelia Systems to Acquire Nimbus Robotics,2023-02-14 09:00:00,"Aurelia Systems said on Tuesday it had agreed to acquire Nimbus Robotics, a warehouse automation supplier, in a cash-and-stock transaction. Aurelia Systems will absorb the Nimbus Robotics engineering organisation and its autonomous navigation portfolio. Executives at Aurelia Systems described the deal as the company's largest acquisition to date and said Nimbus Robotics would continue operating under its own brand through the end of the year.",https://example.test/aurelia-systems-to-acquire-nimbus-robotics
Nimbus Robotics,Nimbus Robotics unveils PathSense navigation stack,2023-03-02 09:00:00,"Nimbus Robotics has developed PathSense, a navigation stack that fuses lidar and wheel odometry for indoor fleets. Nimbus Robotics said PathSense was built in-house over eighteen months and is now deployed across pilot warehouses. PathSense is the first product Nimbus Robotics has shipped since the company entered acquisition talks.",https://example.test/nimbus-robotics-unveils-pathsense-navigation-stack
Veritas Capital Partners,Veritas Capital Partners leads round in Aurelia Systems,2023-04-11 09:00:00,"Veritas Capital Partners has invested in Aurelia Systems, taking a minority stake in the industrial software vendor. Veritas Capital Partners said the investment in Aurelia Systems would fund integration work following recent acquisitions. It is the second time Veritas Capital Partners has backed a company in the warehouse automation segment this year.",https://example.test/veritas-capital-partners-leads-round-in-aurelia-systems
Halcyon Labs,Halcyon Labs founded by former Aurelia engineer Mira Sandoval,2023-01-20 09:00:00,"Halcyon Labs was founded by Mira Sandoval, who previously worked at Aurelia Systems as a principal engineer on control software. Mira Sandoval founded Halcyon Labs after leaving Aurelia Systems in 2022. Halcyon Labs is building simulation tooling for robot fleets.",https://example.test/halcyon-labs-founded-by-former-aurelia-engineer-mira-sandova
Halcyon Labs,Veritas Capital Partners backs Halcyon Labs seed round,2023-05-09 09:00:00,"Veritas Capital Partners has invested in Halcyon Labs, the simulation startup founded by Mira Sandoval. Veritas Capital Partners said Halcyon Labs would use the capital to expand its engineering team. Halcyon Labs declined to disclose the valuation.",https://example.test/veritas-capital-partners-backs-halcyon-labs-seed-round
Orion Cloud,Orion Cloud partners with Aurelia Systems on edge deployment,2022-11-30 09:00:00,Orion Cloud has partnered with Aurelia Systems to deliver edge deployment tooling for factory customers. Under the partnership Orion Cloud will host Aurelia Systems workloads in regional data centres. Orion Cloud said the arrangement was non-exclusive.,https://example.test/orion-cloud-partners-with-aurelia-systems-on-edge-deployment
Orion Cloud,Orion Cloud acquires the Aurelia Systems edge unit,2023-06-15 09:00:00,"Orion Cloud has acquired the edge computing unit of Aurelia Systems, converting a two-year partnership into an outright purchase. Orion Cloud said the acquired Aurelia Systems team would join its infrastructure division. The companies had partnered since late 2022 before Orion Cloud moved to acquire the unit.",https://example.test/orion-cloud-acquires-the-aurelia-systems-edge-unit
Delphi AI,Delphi AI names Priya Raghunathan chief executive,2023-03-28 09:00:00,"Delphi AI has appointed Priya Raghunathan as chief executive officer, effective immediately. Priya Raghunathan leads Delphi AI after eight years at a rival natural language processing vendor. Delphi AI said Priya Raghunathan would focus on enterprise deployments.",https://example.test/delphi-ai-names-priya-raghunathan-chief-executive
Microsoft,Microsoft Corp expands Azure partnership with Aurelia Systems,2023-04-02 09:00:00,Microsoft Corp has partnered with Aurelia Systems to bring industrial control workloads to Azure. Microsoft Corp said the agreement extends an existing relationship. Aurelia Systems will use Microsoft Corp tooling for model deployment.,https://example.test/microsoft-corp-expands-azure-partnership-with-aurelia-system
Google,Google LLC invests in Delphi AI,2023-05-22 09:00:00,"Google LLC has invested in Delphi AI, the natural language platform led by Priya Raghunathan. Google LLC said Delphi AI would remain independent. The investment gives Google LLC no board seat, according to Delphi AI.",https://example.test/google-llc-invests-in-delphi-ai
